2820ms  Y:-32.25
2896ms  Y:-24.63
2851ms  Y:-30.31
2874ms  Y:-28.19
2918ms  Y:-22.13
2939ms  Y:-19.50
2962ms  Y:-16.38
2983ms  Y:-12.31
3006ms  Y:-7.56
3027ms  Y:-0.75
3048ms  Y:3.06
3070ms  Y:5.63
3092ms  Y:7.56
3115ms  Y:9.81
3136ms  Y:13.50
3158ms  Y:16.00
3179ms  Y:18.31
3202ms  Y:19.75
3224ms  Y:20.19
3247ms  Y:20.44
3268ms  Y:21.31
3290ms  Y:22.88
3312ms  Y:24.94
3334ms  Y:27.31
3356ms  Y:30.13
3378ms  Y:34.63
3399ms  Y:37.25
3421ms  Y:39.75
3442ms  Y:42.44
3465ms  Y:45.13
3489ms  Y:47.69
3511ms  Y:48.38
3532ms  Y:48.56
3555ms  Y:47.94
3577ms  Y:46.50
3599ms  Y:42.94
3620ms  Y:39.69
3642ms  Y:35.50
3664ms  Y:30.81
3686ms  Y:25.88
3707ms  Y:18.25
3729ms  Y:13.31
3750ms  Y:8.94
3773ms  Y:5.25
3794ms  Y:2.13
3817ms  Y:-0.38
3838ms  Y:-3.56
3860ms  Y:-5.31
3881ms  Y:-6.69
3904ms  Y:-7.88
3927ms  Y:-9.13
3948ms  Y:-11.25
3970ms  Y:-12.81
3991ms  Y:-14.44
4014ms  Y:-16.19
4035ms  Y:-18.06
4058ms  Y:-20.13
4079ms  Y:-23.63
4101ms  Y:-26.19
4122ms  Y:-27.88
4149ms  Y:-26.88
4170ms  Y:-25.31
4192ms  Y:-24.75
4214ms  Y:-25.06
4236ms  Y:-25.13
4257ms  Y:-25.00
4279ms  Y:-24.56
4300ms  Y:-23.94
4323ms  Y:-22.94
4344ms  Y:-21.06
4367ms  Y:-18.19
4388ms  Y:-14.56
4410ms  Y:-8.69
4431ms  Y:-6.00
4454ms  Y:-5.13
4476ms  Y:-5.50
4499ms  Y:-6.25
4520ms  Y:-7.38
4542ms  Y:-7.81
4564ms  Y:-7.88
4586ms  Y:-7.69
4609ms  Y:-7.56
4630ms  Y:-7.13
4652ms  Y:-6.63
4673ms  Y:-5.63
4695ms  Y:-3.69
4717ms  Y:-1.19
4739ms  Y:1.75
4760ms  Y:7.19
4782ms  Y:11.69
4810ms  Y:18.63
4832ms  Y:22.69
4854ms  Y:26.38
4877ms  Y:29.81
4899ms  Y:32.69
4921ms  Y:34.69
4942ms  Y:34.63
4965ms  Y:34.06
4986ms  Y:33.81
5009ms  Y:34.19
5030ms  Y:35.50
5052ms  Y:35.88
5073ms  Y:35.50
5095ms  Y:34.75
5117ms  Y:33.75
5139ms  Y:32.81
5160ms  Y:32.88
5182ms  Y:34.31
5204ms  Y:36.38
5227ms  Y:38.81
5250ms  Y:41.06
5271ms  Y:43.88
5293ms  Y:46.13
5315ms  Y:48.38
5337ms  Y:50.13
5359ms  Y:51.13
5381ms  Y:52.31
5402ms  Y:53.31
5424ms  Y:54.69
5445ms  Y:56.19
5470ms  Y:57.50
5491ms  Y:59.44
5513ms  Y:60.94
5534ms  Y:62.50
5557ms  Y:63.88
5579ms  Y:65.06
5601ms  Y:65.69
5622ms  Y:64.94
5644ms  Y:63.44
5666ms  Y:61.50
5688ms  Y:58.94
5710ms  Y:56.13
5732ms  Y:51.75
5753ms  Y:48.44
5776ms  Y:44.69
5797ms  Y:41.00
5820ms  Y:37.56
5841ms  Y:32.75
5863ms  Y:29.75
5884ms  Y:26.69
5907ms  Y:23.69
5929ms  Y:20.81
5951ms  Y:18.06
5972ms  Y:14.56
5994ms  Y:12.19
6017ms  Y:9.56
6038ms  Y:6.69
6061ms  Y:4.19
6082ms  Y:1.50
