9174 ms | 0.00 mph
9202 ms | 0.00 mph
9224 ms | 0.00 mph
9244 ms | 0.00 mph
9265 ms | 0.00 mph
9285 ms | 0.00 mph
9307 ms | 0.00 mph
9327 ms | 0.00 mph
9348 ms | 0.00 mph
9368 ms | 0.00 mph
9389 ms | 0.00 mph
9410 ms | 0.00 mph
9431 ms | 0.00 mph
9451 ms | 0.00 mph
9472 ms | 0.00 mph
9492 ms | 0.00 mph
9513 ms | 0.00 mph
9534 ms | 0.00 mph
9554 ms | 0.00 mph
9575 ms | 0.00 mph
9596 ms | 0.00 mph
9617 ms | 0.00 mph
9637 ms | 0.00 mph
9658 ms | 0.00 mph
9678 ms | 0.00 mph
9700 ms | 0.00 mph
9723 ms | 0.00 mph
9744 ms | 0.00 mph
9764 ms | 0.00 mph
9785 ms | 0.00 mph
9805 ms | 0.00 mph
9827 ms | 0.00 mph
9847 ms | 0.00 mph
9868 ms | 0.00 mph
9888 ms | 0.00 mph
9910 ms | 0.00 mph
9930 ms | 0.00 mph
9951 ms | 0.00 mph
9971 ms | 0.00 mph
9992 ms | 0.00 mph
10013 ms | 0.00 mph
10034 ms | 0.00 mph
10054 ms | 0.00 mph
10075 ms | 0.00 mph
10096 ms | 0.00 mph
10117 ms | 0.00 mph
10137 ms | 0.00 mph
10158 ms | 0.00 mph
10179 ms | 0.00 mph
10200 ms | 0.00 mph
10220 ms | 0.00 mph
10244 ms | 0.00 mph
10264 ms | 0.00 mph
10286 ms | 0.00 mph
10306 ms | 0.00 mph
10327 ms | 0.00 mph
10347 ms | 0.00 mph
10368 ms | 0.00 mph
10389 ms | 0.00 mph
10409 ms | 0.00 mph
10430 ms | 0.00 mph
10450 ms | 0.00 mph
10472 ms | 0.00 mph
10492 ms | 0.00 mph
10513 ms | 0.00 mph
10533 ms | 0.00 mph
10555 ms | 0.00 mph
10575 ms | 0.00 mph
10596 ms | 0.00 mph
10616 ms | 0.00 mph
10638 ms | 0.00 mph
10658 ms | 0.00 mph
10679 ms | 0.00 mph
10699 ms | 0.00 mph
10721 ms | 0.00 mph
10741 ms | 0.00 mph
10765 ms | 0.00 mph
10785 ms | 0.00 mph
10806 ms | 0.00 mph
10827 ms | 0.00 mph
10848 ms | 0.00 mph
10868 ms | 0.00 mph
10889 ms | 0.00 mph
10909 ms | 0.00 mph
10931 ms | 0.00 mph
10951 ms | 0.00 mph
10972 ms | 0.00 mph
10992 ms | 0.00 mph
11014 ms | 0.00 mph
11034 ms | 0.00 mph
11055 ms | 0.00 mph
11075 ms | 0.00 mph
11097 ms | 0.00 mph
11117 ms | 0.00 mph
11138 ms | 0.00 mph
11158 ms | 0.00 mph
11180 ms | 0.00 mph
11200 ms | 0.00 mph
11220 ms | 0.00 mph
11241 ms | 0.00 mph
11265 ms | 0.00 mph
11286 ms | 0.00 mph
11307 ms | 0.00 mph
11327 ms | 0.00 mph
11347 ms | 0.00 mph
11369 ms | 0.00 mph
11389 ms | 0.00 mph
11410 ms | 0.00 mph
11430 ms | 0.00 mph
11451 ms | 0.00 mph
11472 ms | 0.00 mph
11493 ms | 0.00 mph
11513 ms | 0.00 mph
11534 ms | 0.00 mph
11555 ms | 0.00 mph
11576 ms | 0.00 mph
11596 ms | 0.00 mph
11617 ms | 0.00 mph
11638 ms | 0.00 mph
11659 ms | 0.00 mph
11679 ms | 0.00 mph
11700 ms | 0.00 mph
11721 ms | 0.00 mph
11742 ms | 0.00 mph
11765 ms | 0.00 mph
11786 ms | 0.00 mph
11806 ms | 0.00 mph
11828 ms | 0.00 mph
11848 ms | 0.00 mph
11869 ms | 0.00 mph
11889 ms | 0.00 mph
11911 ms | 0.00 mph
11931 ms | 0.00 mph
11952 ms | 0.00 mph
11972 ms | 0.00 mph
11993 ms | 0.00 mph
12014 ms | 0.00 mph
12035 ms | 0.00 mph
12055 ms | 0.00 mph
12076 ms | 0.00 mph
12097 ms | 0.00 mph
12118 ms | 0.00 mph
12138 ms | 0.00 mph
12158 ms | 0.00 mph
12180 ms | 0.00 mph
12200 ms | 0.00 mph
12221 ms | 0.00 mph
12241 ms | 0.00 mph
12263 ms | 0.00 mph
12286 ms | 0.00 mph
12307 ms | 0.00 mph
12327 ms | 0.00 mph
12348 ms | 0.00 mph
12369 ms | 0.00 mph
12390 ms | 0.00 mph
12410 ms | 0.00 mph
12431 ms | 0.00 mph
12452 ms | 0.00 mph
12473 ms | 0.00 mph
12493 ms | 0.00 mph
12514 ms | 0.00 mph
12534 ms | 0.00 mph
12556 ms | 0.00 mph
12576 ms | 0.00 mph
12597 ms | 0.00 mph
12617 ms | 0.00 mph
12639 ms | 0.00 mph
12659 ms | 0.00 mph
12680 ms | 0.00 mph
12700 ms | 0.00 mph
12722 ms | 0.00 mph
12742 ms | 0.00 mph
12763 ms | 0.00 mph
12788 ms | 0.00 mph
12809 ms | 0.00 mph
12829 ms | 0.00 mph
12851 ms | 0.00 mph
12871 ms | 0.00 mph
12892 ms | 0.00 mph
12912 ms | 0.00 mph
12934 ms | 0.00 mph
12954 ms | 0.00 mph
12975 ms | 0.00 mph
12995 ms | 0.00 mph
13017 ms | 0.00 mph
13037 ms | 0.00 mph
13058 ms | 0.00 mph
13078 ms | 0.00 mph
13099 ms | 0.00 mph
13120 ms | 0.00 mph
13140 ms | 0.00 mph
13161 ms | 0.00 mph
13181 ms | 0.00 mph
13203 ms | 0.00 mph
13223 ms | 0.00 mph
13244 ms | 0.00 mph
13264 ms | 0.00 mph
13292 ms | 0.00 mph
13314 ms | 0.00 mph
13334 ms | 0.00 mph
13355 ms | 0.00 mph
13375 ms | 0.00 mph
13396 ms | 0.00 mph
13417 ms | 0.00 mph
13437 ms | 0.00 mph
13458 ms | 0.00 mph
13479 ms | 0.00 mph
13500 ms | 0.00 mph
13520 ms | 0.00 mph
13541 ms | 0.00 mph
13562 ms | 0.00 mph
13583 ms | 0.00 mph
13603 ms | 0.00 mph
13624 ms | 0.00 mph
13645 ms | 0.00 mph
13666 ms | 0.00 mph
13686 ms | 0.00 mph
13707 ms | 0.00 mph
13728 ms | 0.00 mph
13749 ms | 0.00 mph
13769 ms | 0.00 mph
13790 ms | 0.00 mph
13813 ms | 0.00 mph
13834 ms | 0.00 mph
13855 ms | 0.00 mph
13876 ms | 0.00 mph
13896 ms | 0.00 mph
13917 ms | 0.00 mph
13938 ms | 0.00 mph
13959 ms | 0.00 mph
13979 ms | 0.00 mph
14000 ms | 0.00 mph
14021 ms | 0.00 mph
14042 ms | 0.00 mph
14062 ms | 0.00 mph
14083 ms | 0.00 mph
14104 ms | 0.00 mph
14125 ms | 0.00 mph
14145 ms | 0.00 mph
14166 ms | 0.00 mph
14187 ms | 0.00 mph
14208 ms | 0.00 mph
14228 ms | 0.00 mph
14248 ms | 0.00 mph
14269 ms | 0.00 mph
14290 ms | 0.00 mph
14314 ms | 0.00 mph
14334 ms | 0.00 mph
14355 ms | 0.00 mph
14375 ms | 0.00 mph
14397 ms | 0.00 mph
14417 ms | 0.00 mph
14438 ms | 0.00 mph
14458 ms | 0.00 mph
